class,support,accuracy,mean_top1_prob,median_top1_prob,mean_true_class_prob,median_true_class_prob,mean_margin,median_margin,mean_entropy,median_entropy
78,10,1.0,0.9997356534004211,0.9997825026512146,0.9997356534004211,0.9997825026512146,0.9997125864028931,0.9997633099555969,0.003337545320391655,0.002799280686303973
79,10,1.0,0.9998744130134583,0.9999133944511414,0.9998744130134583,0.9999133944511414,0.9998403787612915,0.9998950958251953,0.001605319557711482,0.0011605687905102968
80,10,0.8,0.9519220590591431,0.999598503112793,0.8007141947746277,0.999598503112793,0.9068256616592407,0.9994717240333557,0.13008961081504822,0.004642753396183252
81,10,1.0,0.9992055892944336,0.9992085695266724,0.9992055892944336,0.9992085695266724,0.9985660314559937,0.998577356338501,0.007223151624202728,0.0073066153563559055
82,10,1.0,0.9996933937072754,0.9997556805610657,0.9996933937072754,0.9997556805610657,0.9995026588439941,0.9996007680892944,0.0032396730966866016,0.0026574437506496906
83,10,1.0,0.9998552203178406,0.9999051690101624,0.9998552203178406,0.9999051690101624,0.999838650226593,0.9998940229415894,0.001880346448160708,0.0012883045710623264
84,10,0.7,0.55425626039505,0.5557703971862793,0.5206255912780762,0.5535849332809448,0.11023755371570587,0.11175687611103058,0.6992136240005493,0.6894784569740295
85,10,1.0,0.9999176859855652,0.9999350309371948,0.9999176859855652,0.9999350309371948,0.9998979568481445,0.9999226927757263,0.0010789931984618306,0.0008865934796631336
86,10,1.0,0.9997895956039429,0.9998013377189636,0.9997895956039429,0.9998013377189636,0.9997094869613647,0.9997256994247437,0.002562817884609103,0.0024413142818957567
87,10,1.0,0.9999405145645142,0.9999455213546753,0.9999405145645142,0.9999455213546753,0.999919593334198,0.9999239444732666,0.000791356258559972,0.0007279844721779227
88,10,1.0,0.9999176859855652,0.9999256134033203,0.9999176859855652,0.9999256134033203,0.9999057650566101,0.9999149441719055,0.0011177441338077188,0.0010192960035055876
89,10,1.0,0.9998712539672852,0.9999463558197021,0.9998712539672852,0.9999463558197021,0.9998138546943665,0.999927282333374,0.0014076196821406484,0.0007031362620182335
90,10,1.0,0.9998629689216614,0.9999006390571594,0.9998629689216614,0.9999006390571594,0.9997916221618652,0.9998413920402527,0.0016302525764331222,0.0012031749356538057
91,10,1.0,0.9999573826789856,0.9999631643295288,0.9999573826789856,0.9999631643295288,0.9999451637268066,0.9999518394470215,0.0005875002825632691,0.000510753714479506
92,10,1.0,0.9997822642326355,0.999756932258606,0.9997822642326355,0.999756932258606,0.9997074007987976,0.9996773600578308,0.0025933836586773396,0.0028959582559764385
93,10,1.0,0.999881386756897,0.9998992681503296,0.999881386756897,0.9998992681503296,0.9998558163642883,0.9998821020126343,0.0015493918908759952,0.0013453089632093906
94,10,0.3,0.528847336769104,0.523908257484436,0.4829409718513489,0.4779473543167114,0.057958751916885376,0.047994986176490784,0.6939538717269897,0.694451093673706
95,10,1.0,0.9996967315673828,0.999953031539917,0.9996967315673828,0.999953031539917,0.9996255040168762,0.999942421913147,0.0031227918807417154,0.000640435260720551
96,10,1.0,0.9981501698493958,0.9997925758361816,0.9981501698493958,0.9997925758361816,0.9973090887069702,0.9997658729553223,0.01456510741263628,0.0025841896422207355
97,10,1.0,0.9999532699584961,0.9999756813049316,0.9999532699584961,0.9999756813049316,0.999941349029541,0.9999703764915466,0.0006217873888090253,0.00035128509625792503
98,10,1.0,0.9974671602249146,0.9997150897979736,0.9974671602249146,0.9997150897979736,0.9952508807182312,0.9995710849761963,0.015178454108536243,0.003063059179112315
99,10,1.0,0.9999210238456726,0.9999337792396545,0.9999210238456726,0.9999337792396545,0.9998941421508789,0.9999163746833801,0.000995746231637895,0.0008661875035613775
